userid,currDatetime,timeSeconds,fallAsleepTime,wakeUpTime,outOfBedTime,movement,moveEvent,sleepQuality
013,1,1367429893,2013-04-30 23:23:00,2013-05-01 08:59:00,2013-05-01 08:59:00,1.0,36,3
013,2,1367527008,2013-05-02 01:03:00,2013-05-02 10:21:00,2013-05-02 10:21:00,0.0,29,4
013,3,1367609162,2013-05-03 02:00:00,2013-05-03 09:00:00,2013-05-03 09:00:00,0.0,1,1
013,4,1367688046,2013-05-03 22:00:00,2013-05-04 09:02:00,2013-05-04 09:02:00,0.0,13,3
013,5,1367776231,2013-05-05 00:20:00,2013-05-05 06:08:00,2013-05-05 06:08:00,0.0,33,4
013,6,1367855880,2013-05-05 20:00:00,2013-05-06 09:39:00,2013-05-06 09:39:00,0.0,11,5
013,7,1367951040,2013-05-06 22:41:00,2013-05-07 05:38:00,2013-05-07 05:38:00,0.0,19,3
013,8,1368031721,2013-05-07 21:00:00,2013-05-08 08:53:00,2013-05-08 08:53:00,0.0,50,4
013,9,1368131983,2013-05-09 00:50:00,2013-05-09 10:17:00,2013-05-09 10:17:00,0.0,39,4
013,10,1368214719,2013-05-09 23:40:00,2013-05-10 09:10:00,2013-05-10 09:10:00,3.0,40,5
013,11,1368291482,2013-05-10 23:41:00,2013-05-11 08:39:00,2013-05-11 08:39:00,0.0,28,4
013,12,1368393627,2013-05-12 01:22:00,2013-05-12 09:52:00,2013-05-12 09:52:00,0.0,62,5
013,13,1368463799,2013-05-12 22:32:00,2013-05-13 08:42:00,2013-05-13 08:42:00,0.0,13,5
013,14,1368561538,2013-05-13 23:59:00,2013-05-14 11:20:00,2013-05-14 11:20:00,0.0,12,5
013,15,1368643748,2013-05-15 00:26:00,2013-05-15 08:49:00,2013-05-15 08:49:00,1.0,19,3
013,16,1368734288,2013-05-16 00:00:00,2013-05-16 08:52:00,2013-05-16 08:52:00,0.0,30,5
013,17,1368820646,2013-05-17 00:12:00,2013-05-17 08:58:00,2013-05-17 08:58:00,0.0,28,5
013,18,1368907080,2013-05-18 01:59:00,2013-05-18 11:49:00,2013-05-18 11:49:00,1.0,14,3
