userid,currDatetime,timeSeconds,fallAsleepTime,wakeUpTime,outOfBedTime,moveEvent,sleepQuality,timeToFallAsleep,beforeMidnight
013,30,1367429893,23,8,8,36,3,9,True
013,2,1367527008,1,10,10,29,4,26,False
013,2,1367609162,2,9,9,1,1,152,True
013,3,1367688046,22,9,9,13,3,9,True
013,5,1367776231,0,6,6,33,4,0,False
013,5,1367855880,20,9,9,11,5,0,True
013,6,1367951040,22,5,5,19,3,6,True
013,7,1368031721,21,8,8,50,4,0,True
013,9,1368131983,0,10,10,39,4,10,False
013,9,1368214719,23,9,9,40,5,0,True
013,10,1368291482,23,8,8,28,4,10,True
013,12,1368393627,1,9,9,62,5,0,False
013,12,1368463799,22,8,8,13,5,0,True
013,13,1368561538,23,11,11,12,5,0,True
013,14,1368643748,0,8,8,19,3,60,True
013,16,1368734288,0,8,8,30,5,0,False
013,16,1368820646,0,8,8,28,5,14,True
013,17,1368907080,1,11,11,14,3,120,True
013,18,1368990480,23,8,8,0,4,16,True
013,19,1369074480,22,9,9,0,4,14,True
013,20,1369165359,0,6,6,5,3,67,True
013,21,1369242248,23,8,8,18,4,14,True
013,22,1369329780,23,8,8,26,4,6,True
013,23,1369413720,23,8,8,27,4,0,True
013,24,1369505147,23,5,5,31,5,0,True
013,25,1369596600,23,9,9,29,5,0,True
013,26,1369676265,22,6,6,14,4,0,True
013,27,1369768560,2,8,8,5,3,162,True
015,12,1368390485,0,7,7,18,3,15,False
015,12,1368471495,0,5,6,17,5,60,True
015,13,1368556443,23,7,7,3,5,56,True
015,15,1368648968,0,6,7,48,4,15,False
015,15,1368732587,0,6,7,8,3,60,True
015,16,1368819603,0,5,6,11,3,64,True
015,18,1368909483,1,5,7,21,5,20,False
015,19,1368995283,0,7,7,14,4,15,False
015,19,1369076283,23,5,6,8,4,12,True
015,20,1369164001,23,6,7,0,3,14,True
015,21,1369244641,22,6,6,12,5,14,True
015,22,1369330921,22,6,7,6,5,47,True
015,23,1369418281,22,7,7,16,5,30,True
015,24,1369510080,23,8,8,0,5,15,True
015,25,1369592883,23,7,7,7,4,64,True
015,26,1369677481,0,7,7,0,4,120,True
015,28,1369774682,1,7,8,12,4,13,False
015,29,1369855713,0,5,7,20,3,25,False
015,29,1369940281,23,6,7,5,3,36,True
015,31,1370032563,0,5,5,10,4,13,False
015,31,1370113082,2,7,7,0,4,180,True
015,2,1370210280,2,5,7,29,5,19,False
015,2,1370285883,0,5,7,16,4,76,True
015,3,1370372281,23,5,7,0,4,55,True
015,4,1370458682,0,4,6,14,3,60,True
015,5,1370545803,0,3,6,33,3,68,True
015,6,1370631480,23,6,6,0,4,35,True
015,7,1370717882,23,6,6,3,4,32,True
015,8,1370804281,23,6,7,18,5,30,True
016,7,1367964360,2,8,8,13,3,12,False
