userid,currDatetime,dayOfWeek,timeSeconds,fallAsleepTime,wakeUpTime,outOfBedTime,moveEvent,sleepQuality,timeToFallAsleep,beforeMidnight,isWeekend
013,30,1,576,23,8,8,36,3,9,1,0
013,2,3,558,1,10,10,29,4,26,0,0
013,2,3,420,2,9,9,1,1,152,1,0
013,3,4,662,22,9,9,13,3,9,1,0
013,5,6,348,0,6,6,33,4,0,0,1
013,5,6,819,20,9,9,11,5,0,1,1
013,6,0,417,22,5,5,19,3,6,1,0
013,7,1,713,21,8,8,50,4,0,1,0
013,9,3,567,0,10,10,39,4,10,0,0
013,9,3,570,23,9,9,40,5,0,1,0
013,10,4,538,23,8,8,28,4,10,1,0
013,12,6,510,1,9,9,62,5,0,0,1
013,12,6,610,22,8,8,13,5,0,1,1
013,13,0,681,23,11,11,12,5,0,1,0
013,14,1,503,0,8,8,19,3,60,1,0
013,16,3,532,0,8,8,30,5,0,0,0
013,16,3,526,0,8,8,28,5,14,1,0
013,17,4,590,1,11,11,14,3,120,1,0
013,18,5,530,23,8,8,0,4,16,1,1
013,19,6,628,22,9,9,0,4,14,1,1
013,20,0,333,0,6,6,5,3,67,1,0
013,21,1,568,23,8,8,18,4,14,1,0
013,22,2,549,23,8,8,26,4,6,1,0
013,23,3,539,23,8,8,27,4,0,1,0
013,24,4,355,23,5,5,31,5,0,1,0
013,25,5,589,23,9,9,29,5,0,1,1
013,26,6,441,22,6,6,14,4,0,1,1
013,27,0,414,2,8,8,5,3,162,1,0
015,12,6,415,0,7,7,18,3,15,0,1
015,12,6,315,0,5,6,17,5,60,1,1
015,13,0,459,23,7,7,3,5,56,1,0
015,15,2,373,0,6,7,48,4,15,0,0
015,15,2,378,0,6,7,8,3,60,1,0
015,16,3,300,0,5,6,11,3,64,1,0
015,18,5,263,1,5,7,21,5,20,0,1
015,19,6,379,0,7,7,14,4,15,0,1
015,19,6,369,23,5,6,8,4,12,1,1
015,20,0,389,23,6,7,0,3,14,1,0
015,21,1,480,22,6,6,12,5,14,1,0
015,22,2,499,22,6,7,6,5,47,1,0
015,23,3,510,22,7,7,16,5,30,1,0
015,24,4,495,23,8,8,0,5,15,1,0
015,25,5,446,23,7,7,7,4,64,1,1
015,26,6,420,0,7,7,0,4,120,1,1
015,28,1,347,1,7,8,12,4,13,0,0
015,29,2,275,0,5,7,20,3,25,0,0
015,29,2,403,23,6,7,5,3,36,1,0
015,31,4,260,0,5,5,10,4,13,0,0
015,31,4,315,2,7,7,0,4,180,1,0
015,2,6,177,2,5,7,29,5,19,0,1
015,2,6,325,0,5,7,16,4,76,1,1
015,3,0,317,23,5,7,0,4,55,1,0
015,4,1,266,0,4,6,14,3,60,1,0
015,5,2,168,0,3,6,33,3,68,1,0
015,6,3,389,23,6,6,0,4,35,1,0
015,7,4,399,23,6,6,3,4,32,1,0
015,8,5,404,23,6,7,18,5,30,1,1
016,7,1,340,2,8,8,13,3,12,0,0
016,7,1,108,8,9,10,41,4,0,0,0
016,7,1,505,0,8,8,34,3,7,1,0
016,8,2,485,23,7,8,38,3,13,1,0
016,10,4,421,1,8,8,21,2,17,0,0
016,10,4,486,23,7,8,11,3,13,1,0
016,11,5,461,0,7,8,0,2,30,1,1
016,13,0,310,2,7,7,49,3,20,0,0
016,14,1,383,2,8,8,42,3,17,0,0
016,15,2,460,1,9,9,20,3,9,0,0
016,16,3,517,0,9,10,26,2,20,0,0
016,17,4,390,1,8,8,13,3,24,0,0
016,18,5,365,2,8,9,12,3,11,0,1
016,19,6,500,0,9,10,36,3,8,0,1
016,20,0,440,1,9,10,39,3,4,0,0
016,21,1,480,1,9,9,19,3,16,0,0
016,22,2,430,2,9,10,23,3,22,0,0
016,23,3,364,2,9,9,24,2,14,0,0
016,24,4,462,1,8,9,64,3,8,0,0
016,25,5,470,2,10,10,28,3,10,0,1
016,26,6,477,2,10,11,37,3,3,0,1
016,27,0,468,1,8,9,21,2,10,0,0
016,28,1,485,1,9,9,48,3,8,0,0
016,29,2,415,2,9,10,22,3,16,0,0
016,30,3,414,1,8,9,40,4,20,0,0
016,31,4,360,0,6,8,34,2,27,0,0
016,1,5,525,1,10,10,20,3,8,0,1
016,2,6,440,1,9,10,13,3,10,0,1
016,3,0,508,0,9,9,64,3,23,0,0
016,4,1,480,1,9,10,24,3,51,0,0
017,30,1,415,23,6,6,7,3,21,1,0
017,1,2,450,22,6,6,7,4,25,1,0
017,2,3,420,23,6,6,18,4,13,1,0
017,4,5,475,0,8,9,9,4,12,0,1
017,4,5,553,22,7,8,17,3,2,1,1
017,5,6,455,22,6,6,7,4,22,1,1
017,6,0,440,23,7,7,18,4,29,1,0
017,7,1,565,22,7,8,27,3,8,1,0
017,8,2,475,22,6,6,11,4,37,1,0
017,9,3,420,23,6,6,13,4,24,1,0
017,11,5,370,3,9,10,7,4,0,0,1
017,11,5,615,23,10,10,30,4,9,1,1
017,12,6,465,22,6,6,15,4,37,1,1
017,13,0,420,23,6,6,13,4,31,1,0
017,14,1,425,22,6,6,18,4,19,1,0
017,15,2,430,23,6,6,19,4,24,1,0
017,16,3,401,22,5,5,47,2,60,1,0
017,18,5,450,1,8,8,47,5,13,0,1
017,19,6,530,1,10,10,4,2,0,0,1
017,19,6,405,23,6,6,13,3,16,1,1
017,20,0,447,22,6,6,18,4,10,1,0
017,21,1,400,23,6,6,3,4,5,1,0
017,22,2,398,23,6,6,13,3,5,1,0
017,23,3,505,22,7,7,4,4,5,1,0
017,25,5,503,1,10,10,2,4,5,0,1
